Node,BC
C0000097,3.62E-07
C0000098,2.93E-06
C0000184,0
C0000189,0
C0000263,1.98E-06
C0000325,0
C0000379,3.55E-05
C0000392,7.11E-08
C0000473,0
C0000477,0
C0000481,1.43E-08
C0000503,0
C0000511,0
C0000530,0
C0000545,5.74E-05
C0000578,0
C0000608,0
C0000618,0
C0000665,0
C0000677,0
C0000696,0
C0000702,1.77E-07
C0000726,0.000646189
C0000727,9.89E-06
C0000731,4.66E-06
C0000734,1.64E-05
C0000735,2.54E-07
C0000737,0.000183127
C0000739,2.09E-07
C0000766,0
C0000768,0.001071315
C0000772,2.21E-06
C0000781,9.71E-07
C0000786,0.000149958
C0000809,2.01E-06
C0000814,4.98E-05
C0000817,4.87E-05
C0000832,0
C0000833,0.000447451
C0000843,5.87E-06
C0000846,0.000112809
C0000849,2.78E-07
C0000857,2.55E-06
C0000872,0.000180026
C0000875,0
C0000876,5.68E-06
C0000880,0
C0000889,3.07E-08
C0000901,1.76E-07
C0000918,0
C0000921,5.77E-07
C0000924,0
C0000925,1.84E-05
C0000932,5.20E-05
C0000934,0.000627699
C0000936,0.000112706
C0000937,0
C0000959,1.33E-08
C0000962,2.51E-07
C0000966,0.000112026
C0000970,0.000177424
C0000975,0.000198755
C0000981,2.76E-05
C0000983,2.77E-06
C0001002,7.44E-07
C0001022,3.41E-06
C0001024,0
C0001026,4.91E-05
C0001034,0
C0001038,2.41E-06
C0001040,2.37E-08
C0001041,4.82E-05
C0001044,1.05E-06
C0001046,2.57E-08
C0001047,0.000227307
C0001053,5.07E-05
C0001055,9.74E-05
C0001056,1.99E-06
C0001060,4.90E-05
C0001064,0
C0001072,4.88E-05
C0001074,4.54E-06
C0001080,0
C0001084,0
C0001109,1.03E-08
C0001111,0
C0001118,0
C0001122,4.91E-05
C0001125,3.67E-06
C0001126,6.04E-06
C0001127,9.28E-06
C0001128,3.11E-05
C0001138,2.15E-07
C0001139,0
C0001143,3.12E-06
C0001144,8.74E-06
C0001156,0
C0001159,5.82E-06
C0001164,0
C0001168,0.001004158
C0001175,0.000336653
C0001186,0
C0001187,1.01E-07
C0001204,2.21E-07
C0001206,7.62E-06
C0001223,5.59E-08
C0001231,0
C0001249,0
C0001259,0
C0001261,1.36E-08
C0001271,0.000134399
C0001272,1.12E-05
C0001275,0.000132607
C0001280,7.53E-05
C0001288,4.88E-05
C0001291,4.39E-08
C0001302,9.79E-05
C0001304,0
C0001306,0
C0001311,5.05E-06
C0001314,0.000279746
C0001327,6.20E-10
C0001339,0.000232042
C0001344,1.28E-05
