Node,KC
C0000097,0.000267924
C0000098,0.000543389
C0000184,8.46E-05
C0000189,8.46E-05
C0000263,0.000427691
C0000325,8.44E-05
C0000379,0.00154618
C0000392,0.000173445
C0000473,8.45E-05
C0000477,8.69E-05
C0000481,0.000169583
C0000503,0.000187066
C0000511,8.48E-05
C0000530,8.92E-05
C0000545,0.000766479
C0000578,8.92E-05
C0000608,0.000253502
C0000618,8.98E-05
C0000665,8.46E-05
C0000677,8.44E-05
C0000696,8.72E-05
C0000702,0.000262071
C0000726,0.005504205
C0000727,0.00128836
C0000731,0.000797934
C0000734,0.000525191
C0000735,0.000182596
C0000737,0.004006163
C0000739,0.00025575
C0000766,0.000168874
C0000768,0.006901682
C0000772,0.000561604
C0000781,0.000263078
C0000786,0.002221405
C0000809,0.000255295
C0000814,0.000266467
C0000817,0.000174825
C0000832,0.000128374
C0000833,0.003797111
C0000843,0.000171334
C0000846,0.000933019
C0000849,0.00051107
C0000857,0.001440511
C0000872,0.003321375
C0000875,8.51E-05
C0000876,0.000339549
C0000880,9.07E-05
C0000889,0.000177025
C0000901,0.000340923
C0000918,8.44E-05
C0000921,0.000427691
C0000924,0.000218047
C0000925,0.001256326
C0000932,0.000763339
C0000934,0.009455684
C0000936,0.00318734
C0000937,0.00021398
C0000959,0.000168958
C0000962,0.000339526
C0000966,0.000422676
C0000970,0.003366957
C0000975,0.001483732
C0000981,0.000809318
C0000983,0.0004334
C0001002,0.000511124
C0001022,0.000687353
C0001024,8.45E-05
C0001026,0.000338681
C0001034,9.07E-05
C0001038,0.000509005
C0001040,0.000169184
C0001041,0.001896381
C0001044,0.000339347
C0001046,0.000169749
C0001047,0.004194611
C0001053,0.00068275
C0001055,0.000169832
C0001056,0.000437706
C0001060,0.000442044
C0001064,8.54E-05
C0001072,0.000253364
C0001074,0.000530693
C0001080,0.00010231
C0001084,8.61E-05
C0001109,0.000169234
C0001111,9.07E-05
C0001118,0.000168874
C0001122,0.000603226
C0001125,0.000168859
C0001126,0.000527602
C0001127,0.000593836
C0001128,0.002399095
C0001138,0.00035353
C0001139,0.000253359
C0001143,0.000396659
C0001144,0.000423243
C0001156,0.000193862
C0001159,0.000253667
C0001164,0.00010231
C0001168,0.008494983
C0001175,0.008072076
C0001186,8.79E-05
C0001187,0.000255023
C0001204,0.000259145
C0001206,0.000665417
C0001223,0.000168901
C0001231,8.48E-05
C0001249,8.46E-05
C0001259,8.43E-05
C0001261,0.000170331
C0001271,0.001888539
C0001272,0.000185307
C0001275,0.0007331
C0001280,0.001727562
