Node,PR
C0000097,9.61E-06
C0000098,1.52E-05
C0000184,5.98E-06
C0000189,6.20E-06
C0000263,1.40E-05
C0000325,6.44E-06
C0000379,3.75E-05
C0000392,7.55E-06
C0000473,6.19E-06
C0000477,5.61E-06
C0000481,7.68E-06
C0000503,7.70E-06
C0000511,5.84E-06
C0000530,5.93E-06
C0000545,2.45E-05
C0000578,5.93E-06
C0000608,8.57E-06
C0000618,5.69E-06
C0000665,5.90E-06
C0000677,8.39E-06
C0000696,5.62E-06
C0000702,9.69E-06
C0000726,0.000167924
C0000727,2.93E-05
C0000731,2.14E-05
C0000734,1.57E-05
C0000735,8.08E-06
C0000737,1.00E-04
C0000739,1.08E-05
C0000766,6.36E-06
C0000768,0.000190152
C0000772,1.42E-05
C0000781,1.03E-05
C0000786,5.69E-05
C0000809,8.31E-06
C0000814,1.60E-05
C0000817,1.35E-05
C0000832,5.85E-06
C0000833,0.000122787
C0000843,9.12E-06
C0000846,3.44E-05
C0000849,1.59E-05
C0000857,4.42E-05
C0000872,9.94E-05
C0000875,6.35E-06
C0000876,1.59E-05
C0000880,5.82E-06
C0000889,7.31E-06
C0000901,1.12E-05
C0000918,6.87E-06
C0000921,1.15E-05
C0000924,7.66E-06
C0000925,3.04E-05
C0000932,2.64E-05
C0000934,0.0002276
C0000936,7.36E-05
C0000937,7.64E-06
C0000959,8.06E-06
C0000962,1.30E-05
C0000966,2.18E-05
C0000970,8.94E-05
C0000975,5.49E-05
C0000981,2.12E-05
C0000983,1.57E-05
C0001002,1.65E-05
C0001022,2.05E-05
C0001024,6.47E-06
C0001026,1.70E-05
C0001034,5.80E-06
C0001038,1.89E-05
C0001040,1.00E-05
C0001041,5.12E-05
C0001044,1.35E-05
C0001046,7.90E-06
C0001047,0.000100746
C0001053,2.37E-05
C0001055,1.42E-05
C0001056,1.20E-05
C0001060,1.66E-05
C0001064,5.70E-06
C0001072,1.62E-05
C0001074,1.69E-05
C0001080,5.74E-06
C0001084,6.50E-06
C0001109,7.64E-06
C0001111,5.64E-06
C0001118,6.36E-06
C0001122,2.03E-05
C0001125,1.05E-05
C0001126,1.69E-05
C0001127,1.76E-05
C0001128,6.61E-05
C0001138,1.13E-05
C0001139,8.98E-06
C0001143,1.30E-05
C0001144,1.30E-05
C0001156,7.57E-06
C0001159,1.28E-05
C0001164,5.74E-06
C0001168,0.000256181
C0001175,0.000189891
C0001186,5.69E-06
C0001187,9.85E-06
C0001204,9.64E-06
C0001206,1.70E-05
C0001223,9.60E-06
C0001231,5.60E-06
C0001249,5.73E-06
C0001259,2.48E-05
C0001261,7.85E-06
C0001271,5.77E-05
C0001272,9.74E-06
C0001275,3.00E-05
C0001280,4.71E-05
C0001288,1.40E-05
C0001291,8.96E-06
C0001302,3.02E-05
C0001304,8.04E-06
C0001306,9.39E-06
C0001311,4.17E-05
C0001314,0.000139383
C0001327,7.11E-06
C0001339,9.03E-05
C0001344,2.56E-05
C0001347,6.31E-05
C0001349,3.84E-05
C0001361,1.09E-05
C0001363,9.45E-06
C0001364,9.31E-06
C0001367,3.28E-05
C0001374,2.24E-05
C0001383,7.76E-06
C0001390,1.05E-05
C0001392,1.57E-05
C0001400,1.09E-05
C0001403,2.02E-05
C0001407,7.65E-06
C0001417,2.26E-05
C0001418,0.000136451
C0001425,3.08E-05
C0001428,5.08E-05
C0001430,8.61E-05
C0001442,8.17E-06
C0001443,9.93E-05
C0001451,5.58E-06
C0001455,3.21E-05
C0001457,3.97E-05
C0001459,1.70E-05
C0001461,2.53E-05
C0001464,7.73E-06
C0001468,7.49E-06
C0001471,1.90E-05
C0001473,4.05E-05
C0001476,9.86E-06
C0001477,5.64E-06
